date,cough,fever,amnesia,sore throat,sore joint,isPartial,allergy,diarrhea,runny nose,sneeze,state,itch
2016-04-01,39,78,3,20,0,False,39,49,3,5,MT,13
2016-05-01,40,52,5,26,0,False,36,55,2,2,MT,17
2016-06-01,25,54,4,22,0,False,52,41,0,2,MT,20
2016-07-01,24,44,4,14,0,False,35,50,2,4,MT,27
2016-08-01,29,48,2,10,0,False,35,48,4,2,MT,21
2016-09-01,41,49,3,22,0,False,35,37,8,6,MT,12
2016-10-01,33,42,4,19,0,False,33,36,4,4,MT,12
2016-11-01,51,44,6,24,0,False,28,49,6,6,MT,13
2016-12-01,59,64,4,26,0,False,25,43,4,5,MT,16
2017-01-01,64,82,2,26,0,False,35,37,9,4,MT,12
2017-02-01,62,77,2,28,0,False,28,50,8,4,MT,14
2017-03-01,51,68,6,19,0,False,35,48,7,5,MT,15
2017-04-01,41,63,3,25,0,False,33,46,6,2,MT,15
2017-05-01,45,51,2,25,0,False,41,46,3,1,MT,17
2017-06-01,39,57,2,18,0,False,58,49,2,5,MT,16
2017-07-01,44,59,1,20,0,False,45,49,2,3,MT,27
2017-08-01,25,41,1,14,0,False,28,48,2,4,MT,20
2017-09-01,39,46,3,26,0,False,29,35,5,4,MT,17
2017-10-01,45,47,3,17,0,False,32,35,2,4,MT,14
2017-11-01,44,54,5,23,0,False,31,35,2,5,MT,13
2017-12-01,63,69,3,26,0,False,32,42,7,7,MT,17
2018-01-01,57,77,2,21,0,False,26,39,5,5,MT,17
2018-02-01,61,91,2,27,0,False,31,46,2,3,MT,14
2018-03-01,54,71,2,20,0,False,43,51,7,5,MT,16
2018-04-01,43,60,3,26,0,False,42,55,5,4,MT,16
2018-05-01,33,55,1,23,0,False,50,42,4,3,MT,16
2018-06-01,37,60,1,26,0,False,42,53,3,4,MT,20
2018-07-01,26,58,2,17,0,False,42,41,1,7,MT,26
2018-08-01,28,48,4,13,0,False,44,53,3,5,MT,20
2018-09-01,41,61,6,11,0,True,50,43,4,4,MT,17
2004-01-01,24,53,12,12,0,False,22,30,15,15,NE,0
2004-02-01,23,98,12,0,0,False,43,14,14,0,NE,0
2004-03-01,15,73,0,0,0,False,18,19,0,0,NE,0
2004-04-01,34,28,11,11,0,False,77,21,0,0,NE,29
2004-05-01,21,36,0,10,0,False,58,13,0,0,NE,19
2004-06-01,28,22,11,11,0,False,63,28,0,0,NE,28
2004-07-01,11,55,11,11,0,False,41,28,0,14,NE,28
2004-08-01,10,25,10,10,0,False,56,50,0,12,NE,0
2004-09-01,27,32,0,9,0,False,40,11,0,0,NE,17
2004-10-01,61,47,9,19,0,False,41,12,12,0,NE,18
2004-11-01,43,39,10,0,0,False,24,24,0,0,NE,0
2004-12-01,30,51,0,21,0,False,27,21,11,0,NE,11
2005-01-01,23,42,8,0,0,False,19,0,10,9,NE,19
2005-02-01,32,40,8,16,0,False,30,25,0,0,NE,0
2005-03-01,31,44,14,10,0,False,21,9,0,0,NE,9
2005-04-01,27,77,0,12,0,False,39,34,0,0,NE,14
2005-05-01,18,58,7,7,0,False,50,9,0,0,NE,14
2005-06-01,16,36,8,8,0,False,50,30,0,20,NE,35
2005-07-01,12,31,15,15,0,False,39,15,10,10,NE,19
2005-08-01,14,45,7,21,0,False,48,22,0,9,NE,18
2005-09-01,25,35,10,10,0,False,48,12,0,8,NE,28
2005-10-01,29,38,0,12,0,False,51,15,7,7,NE,7
2005-11-01,18,30,12,12,0,False,33,7,0,0,NE,11
2005-12-01,28,45,17,6,0,False,39,28,0,7,NE,0
2006-01-01,23,30,0,8,0,False,28,16,6,6,NE,6
2006-02-01,31,49,0,10,0,False,23,13,0,6,NE,6
2006-03-01,18,41,5,9,0,False,23,20,0,11,NE,6
2006-04-01,19,45,0,26,0,False,51,21,0,6,NE,12
2006-05-01,5,33,0,7,0,False,39,18,0,6,NE,6
2006-06-01,21,44,5,13,0,False,33,10,7,0,NE,0
2006-07-01,22,39,5,10,0,False,27,12,0,6,NE,9
2006-08-01,22,44,4,11,0,False,30,25,0,5,NE,8
2006-09-01,34,49,9,11,0,False,40,16,11,5,NE,8
2006-10-01,16,41,4,10,0,False,24,7,0,10,NE,10
2006-11-01,23,31,0,15,0,False,29,19,0,5,NE,10
2006-12-01,29,44,4,19,0,False,29,10,5,5,NE,15
2007-01-01,22,60,3,12,0,False,34,19,4,4,NE,4
2007-02-01,30,50,0,7,0,False,38,22,9,9,NE,11
2007-03-01,10,47,3,11,0,False,43,10,4,0,NE,12
2007-04-01,34,59,3,13,0,False,45,16,8,4,NE,8
2007-05-01,9,47,3,8,0,False,45,20,4,8,NE,18
2007-06-01,13,40,7,8,0,False,44,11,4,6,NE,17
2007-07-01,15,32,0,12,0,False,29,21,4,0,NE,15
2007-08-01,13,35,0,5,0,False,42,23,0,0,NE,15
2007-09-01,21,50,3,10,0,False,51,20,0,6,NE,10
2007-10-01,27,46,4,4,0,False,28,16,7,5,NE,9
2007-11-01,38,31,4,7,0,False,57,9,0,0,NE,11
2007-12-01,23,48,4,6,0,False,31,22,0,4,NE,9
2008-01-01,28,41,0,16,0,False,31,15,3,10,NE,7
2008-02-01,34,82,3,11,0,False,30,10,3,8,NE,15
2008-03-01,20,56,9,9,0,False,50,23,3,3,NE,8
2008-04-01,16,61,3,6,0,False,38,19,3,0,NE,13
2008-05-01,24,43,14,7,0,False,51,17,0,3,NE,15
2008-06-01,17,45,3,12,0,False,27,9,4,4,NE,17
2008-07-01,17,26,6,10,0,False,34,18,7,4,NE,20
2008-08-01,17,55,3,10,0,False,57,21,0,4,NE,14
2008-09-01,25,43,3,16,0,False,59,21,0,5,NE,8
2008-10-01,37,33,5,9,0,False,45,30,3,4,NE,12
2008-11-01,38,42,3,4,0,False,33,26,3,3,NE,11
2008-12-01,31,44,5,11,0,False,22,21,6,9,NE,13
2009-01-01,36,43,6,17,0,False,27,23,5,9,NE,11
2009-02-01,31,61,2,18,0,False,37,22,0,3,NE,14
2009-03-01,28,65,2,10,0,False,46,21,3,6,NE,10
2009-04-01,33,60,2,11,0,False,53,23,0,6,NE,13
2009-05-01,22,44,2,10,0,False,43,21,3,6,NE,17
2009-06-01,12,44,8,8,0,False,54,36,3,0,NE,20
2009-07-01,23,45,5,9,0,False,57,33,3,17,NE,17
2009-08-01,13,26,6,6,0,False,64,26,3,6,NE,13
2009-09-01,32,51,4,19,0,False,66,26,8,5,NE,9
2009-10-01,39,69,7,15,0,False,39,17,9,6,NE,6
2009-11-01,33,44,5,19,0,False,39,46,9,3,NE,7
2009-12-01,21,37,5,14,0,False,22,23,4,4,NE,9
2010-01-01,20,46,2,16,0,False,35,26,7,4,NE,10
2010-02-01,39,51,2,16,0,False,28,29,4,7,NE,11
2010-03-01,31,59,6,11,0,False,46,44,0,5,NE,4
2010-04-01,14,52,2,12,0,False,65,38,3,8,NE,12
2010-05-01,24,36,2,13,0,False,54,28,6,3,NE,13
2010-06-01,26,41,4,16,0,False,47,36,3,7,NE,21
